omitted_animal,n_combined_exposure,n_oxygen_control,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,scenario_order,scenario,is_full_cohort,fdr_lt_0_05,nes_rank_descending,nes_rank_ascending,absolute_nes_rank
(none),3,3,HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,78,-0.3958919011501234,-1.6419863840101887,0.00359586165102907,0.01284236303938954,0.00757023505479804,1634,"tags=26%, list=12%, signal=23%",Arl4a/Snap91/Psmg1/Il12rb2/Cdkn3/Ace/Pomc/Vdac3/Jam3/Braf/Mast2/Mlf1/Gsg1/Bub1/Cdk1/Camk4/Ccnb2/Clgn/Lpin1/Slc2a5,1,Full cohort,TRUE,TRUE,42,9,11
(none),3,3,HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,141,-0.35872874865348503,-1.6233873920773871,3.913743055273418e-4,0.00177897411603337,0.00104865842629335,2690,"tags=34%, list=20%, signal=27%",Erbb3/Igf2r/Birc3/Xiap/Cd38/Casp6/Il1b/Ank/Cyld/Casp8/Rock1/Bcl10/Fas/Pmaip1/Cdkn1b/Ebp/Brca1/Hspb1/Ppp3r1/Casp9/Rela/Ccnd2/Gpx4/Sod1/Eno2/Il18/Lmna/Bax/Ptk2/Txnip/Casp3/Timp2/Cflar/Mcl1/H1f0/Btg3/Casp4/Sat1/Pdcd4/Smad7/Wee1/Gch1/Il1a/Cd44/Top2a/Il6/Hmgb2/Cd14,1,Full cohort,TRUE,TRUE,41,10,12
(none),3,3,HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,27,-0.4931681641172494,-1.5940455356873722,0.01712014525317623,0.04280036313294059,0.02522968774152288,1188,"tags=26%, list=9%, signal=24%",Sap30/Notch2/Psenen/Rbx1/Tcf7l2/Prkca/St3gal6,1,Full cohort,TRUE,TRUE,40,11,13
(none),3,3,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,165,0.3336662389259684,1.5803088067385394,0.00112474316499951,0.00468642985416463,0.00276252707192862,1049,"tags=25%, list=8%, signal=23%",Socs1/Mthfd2/Irf9/Ifit2/Dhx58/Irf1/Ptpn6/Eif2ak2/Pla2g4a/Rapgef6/Mvp/Ogfr/Rtp4/Usp18/Cmpk2/Tap1/Stat2/Tor1b/Irf7/Rnf31/Parp14/Znfx1/Xaf1/Trim14/Rsad2/Lgals3bp/Adar/Trim21/Sp110/Oasl1/Irf8/Pml/Stat1/Trafd1/Zbp1/Ifitm3/Ifit3/Rnf213/Socs3/Psme2/Il4ra,1,Full cohort,TRUE,TRUE,3,48,14
(none),3,3,HALLMARK_COAGULATION,HALLMARK_COAGULATION,85,-0.3758253780205295,-1.575640195291369,0.0059769638639172,0.01867801207474125,0.01101019659142642,2121,"tags=31%, list=16%, signal=26%",Rac1/F3/Adam9/Dusp14/Apoc1/Sparc/Casp9/Cd9/Serpine1/Ctso/Klk8/Cfh/C3/Thbs1/S100a13/Pecam1/Lamp2/Lrp1/Gng12/Klf7/Cpq/Maff/Plek/Gp9/Plau/Ang,1,Full cohort,TRUE,TRUE,39,12,15
(none),3,3,HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,30,-0.4613532558211144,-1.5442355262243912,0.02721482816381116,0.06185188219047993,0.03646005687017764,2473,"tags=43%, list=19%, signal=35%",Ghrl/Tmem8b/Gstm5/Efna5/Brca1/Hspb1/Scube1/Lyn/Il2rg/Adam10/B4galt1/Dcbld2/Plaur,1,Full cohort,TRUE,FALSE,38,13,16
(none),3,3,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,136,-0.34022628149682044,-1.5279246974806495,0.0030228294054611,0.01162626694408116,0.00685337840914258,2366,"tags=30%, list=18%, signal=25%",Ets1/Rps9/Cdkn2a/Ube2n/Bcl10/Was/Fas/Gpr65/Il2/Eif3j1/Ccl7/Jak2/Ifnar2/Brca1/Cd47/H2-Oa/Prkcg/Tlr6/Map3k7/Rps3a1/Ccnd2/Il18/Ncf4/Ccr1/H2-Aa/Cxcl9/Ccr5/Lyn/Ccnd3/H2-Ob/Il2rg/Cxcl13/Cd86/Ltb/Ly86/Nlrp3/Il6/B2m/Ccl5/Csf1/Klrd1,1,Full cohort,TRUE,TRUE,37,14,17
(none),3,3,HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,189,-0.3061612269065046,-1.446007534761776,0.00541231129131404,0.01804103763771348,0.01063471692328373,1925,"tags=26%, list=15%, signal=23%",Kif11/Knl1/Efna5/Xpo1/H2ax/Mad2l1/Gspt1/Cdkn2c/Syncrip/Ndc80/Rad54l/Plk1/Katna1/Kif4/Stag1/Kif22/Cdkn3/Sap30/Snrpd1/H2az1/Hmmr/Notch2/Pafah1b1/Numa1/Prim2/Bub1/Cdk1/Odc1/Rad21/Marcks/H2az2/Ccnb2/Smc4/Racgap1/Lig3/Cul3/Kif23/Birc5/Prc1/Pttg1/Ccna2/Cenpf/Stmn1/Cenpa/Top2a/Nusap1/Pbk/Mki67/Tle3/Ube2c,1,Full cohort,TRUE,TRUE,36,15,18
(none),3,3,HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,92,-0.3357606138487481,-1.4219960627857475,0.02227883581143692,0.05304484717008791,0.03126854148973603,3937,"tags=39%, list=30%, signal=28%",Ap1g1/Arf1/Vamp4/Cav2/Sec31a/Clcn3/M6pr/Cltc/Ap2b1/Dnm1l/Gosr2/Tmed10/Igf2r/Copb1/Arcn1/Uso1/Cog2/Scamp1/Copb2/Lman1/Snap23/Clta/Ap3s1/Mapk1/Sec22b/Sod1/Bet1/Rer1/Lamp2/Anp32e/Rps6ka3/Abca1/Bnip3/Atp7a/Adam10/Dst,1,Full cohort,TRUE,FALSE,35,16,19
(none),3,3,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,194,-0.2972219011628216,-1.410539501603022,0.00695734361517854,0.02046277533876041,0.0120622675681114,2763,"tags=30%, list=21%, signal=24%",Cenpe/Dynll2/Ckap5/Abr/Actn4/Kif15/Pkd2/Dlg1/Hook3/Ophn1/Cyth2/Arhgef11/Kif3c/Arf6/Rock1/Cd2ap/Cdc42bpa/Stk38l/Arap3/Dlgap5/Kif11/Klc1/Ndc80/Farp1/Plk1/Katna1/Myh9/Kif4/Kif22/Arhgef12/Synpo/Flnb/Vcl/Notch2/Ywhae/Pafah1b1/Cdc42/Numa1/Bub1/Cdk1/Dync1h1/Marcks/Ccnb2/Smc4/Ssh2/Racgap1/Rab3gap1/Kif23/Birc5/Epb41l2/Prc1/Dock4/Epb41/Cenpf/Dst/Ezr/Top2a/Nusap1,1,Full cohort,TRUE,TRUE,34,17,20
