outcome_type,outcome,metric,dropped_animal,dropped_source_group,n_exposed,n_control,exposed_mean,control_mean,cohens_d_point_estimate,mean_difference,welch_se,welch_df,ci_level,mean_difference_ci_low,mean_difference_ci_high,sign_matches_full
gene,Mx1,pseudobulk_log2cpm,C2,Control,3,2,1.9623693807156488,0.8586890613196807,1.8971751541579789,1.1036803193959681,0.44885384269768464,2.887156957183164,0.95,-0.3568826770797917,2.564243315871728,True
gene,Mx1,pseudobulk_log2cpm,C3,Control,3,2,1.9623693807156488,0.35641806618759053,2.679142156190292,1.6059513145280584,0.4824844826373782,2.9988966922446454,0.95,0.07015072415636059,3.141751904899756,True
gene,Mx1,pseudobulk_log2cpm,S1,Surgery,2,3,2.0165101073376586,0.5971602687047668,2.071735772718573,1.4193498386328918,0.7314358347454294,1.3860743793165897,0.95,-3.525522315192318,6.364221992458101,True
gene,Mx1,pseudobulk_log2cpm,S2,Surgery,2,3,2.2708859089735505,0.5971602687047668,3.13593485062335,1.6737256402687837,0.5081778139217555,1.975951139720723,0.95,-0.5384876809875851,3.8859389615251523,True
gene,Mx1,pseudobulk_log2cpm,S3,Surgery,2,3,1.5997121258357367,0.5971602687047668,2.1764474079634266,1.00255185713097,0.38630451930584603,2.870146567834523,0.95,-0.25891452336723164,2.2640182376291715,True
gene,Ifit1,pseudobulk_log2cpm,C1,Control,3,2,1.7759765557320073,0.3782668661134348,1.0147961182295777,1.3977096896185726,1.1886879140951454,2.6910359911197954,0.95,-2.6432080464531094,5.438627425690255,True
gene,Ifit1,pseudobulk_log2cpm,C2,Control,3,2,1.7759765557320073,0.8000702236774941,0.784823294743189,0.9759063320545132,0.9416773890837078,2.7533331551019695,0.95,-2.1786940350500092,4.130506699159036,True
gene,Ifit1,pseudobulk_log2cpm,C3,Control,3,2,1.7759765557320073,-0.03460867565978157,1.45373806716819,1.810585231391789,0.9456258057864619,2.7745813825492003,0.95,-1.3419763413670331,4.963146804150611,True
gene,Ifit1,pseudobulk_log2cpm,S1,Surgery,2,3,1.7369208698621965,0.38124280471038247,0.9850671643018831,1.355678065151814,1.5416006987645956,1.2211784491726374,0.95,-11.55219810949652,14.263554239800147,True
gene,Ifit1,pseudobulk_log2cpm,S2,Surgery,2,3,2.527674842715746,0.38124280471038247,2.4509348820803636,2.146432038005363,0.8282257000751143,2.0209636700365166,0.95,-1.3819453760730078,5.674809452083734,True
gene,Ifit1,pseudobulk_log2cpm,S3,Surgery,2,3,1.0633339546180798,0.38124280471038247,0.726559391647634,0.6820911499076974,0.926029331857528,1.7594102270721819,0.95,-3.87278208350902,5.236964383324415,True
gene,Ifit2,pseudobulk_log2cpm,C1,Control,3,2,2.3317347607777896,0.9339474205872867,4.687770216411213,1.397787340190503,0.22161013183580602,2.576497844884573,0.95,0.6221846085702034,2.1733900718108026,True
gene,Ifit2,pseudobulk_log2cpm,C2,Control,3,2,2.3317347607777896,1.1014024749048015,3.462453222987254,1.2303322858729882,0.3242549374120716,2.275490464481306,0.95,-0.014828346047958574,2.475492917793935,True
gene,Ifit2,pseudobulk_log2cpm,C3,Control,3,2,2.3317347607777896,1.1849742094260862,3.574080176580244,1.1467605513517034,0.26489245164381164,2.941816123985653,0.95,0.2942432463049941,1.9992778563984128,True
gene,Ifit2,pseudobulk_log2cpm,S1,Surgery,2,3,2.242725431398691,1.0734413683060582,3.4941916108626345,1.1692840630926329,0.35270257262327587,1.4373219006605764,0.95,-1.0873827501519966,3.4259508763372626,True
gene,Ifit2,pseudobulk_log2cpm,S2,Surgery,2,3,2.5364053277488567,1.0734413683060582,6.970698575487077,1.4629639594427986,0.1499898794314246,2.1280164830898802,0.95,0.8534222513692329,2.0725056675163644,True
gene,Ifit2,pseudobulk_log2cpm,S3,Surgery,2,3,2.2160735231858206,1.0734413683060582,3.5941094395544773,1.1426321548797624,0.32868605270183004,1.5205078681200979,0.95,-0.7980344685840386,3.0832987783435635,True
gene,Ifit3,pseudobulk_log2cpm,C1,Control,3,2,3.5099211177739513,2.5377153833886252,0.9845630619627017,0.9722057343853261,0.7350658760828422,2.59297080455625,0.95,-1.5892065201874823,3.5336179889581345,True
gene,Ifit3,pseudobulk_log2cpm,C2,Control,3,2,3.5099211177739513,2.912614633315167,0.6200156072378127,0.5973064844587843,0.6854713468018575,2.0750443223332398,0.95,-2.252145348285834,3.4467583172034026,True
gene,Ifit3,pseudobulk_log2cpm,C3,Control,3,2,3.5099211177739513,2.63120526462223,0.8717861702260316,0.8787158531517214,0.7756803832692707,2.8714596375456853,0.95,-1.6535530211862266,3.4109847274896694,True
gene,Ifit3,pseudobulk_log2cpm,S1,Surgery,2,3,3.8329138199469392,2.693845093775341,1.2616199784298272,1.1390687261715984,1.05886379448459,1.0958838078941207,0.95,-9.82865373043142,12.106791182774614,True
gene,Ifit3,pseudobulk_log2cpm,S2,Surgery,2,3,3.8657300371054215,2.693845093775341,1.334959568889595,1.1718849433300806,1.0268229793951063,1.1023324953661093,0.95,-9.333920247390719,11.67769013405088,True
gene,Ifit3,pseudobulk_log2cpm,S3,Surgery,2,3,2.831119496269493,2.693845093775341,0.4292654295254613,0.13727440249415235,0.2277069787469958,2.0838645713188466,0.95,-0.8056379428007913,1.0801867477890958,True
gene,Fos,pseudobulk_log2cpm,C1,Control,3,2,12.024664361061694,11.611714804536888,4.093129812767125,0.412949556524806,0.07173718405367394,2.0669501297454054,0.95,0.11367491824102621,0.7122241948085859,True
gene,Fos,pseudobulk_log2cpm,C2,Control,3,2,12.024664361061694,11.69989372508213,2.532241428175693,0.32477063597956324,0.12063257209966048,2.0581173863193403,0.95,-0.18047394361754165,0.8300152155766681,True
gene,Fos,pseudobulk_log2cpm,C3,Control,3,2,12.024664361061694,11.709138972340902,2.550439931797388,0.3155253887207916,0.1132972683148146,2.24897773295025,0.95,-0.12371981244247288,0.7547705898840561,True
gene,Fos,pseudobulk_log2cpm,S1,Surgery,2,3,12.09557377971263,11.673582500653305,4.785043441531977,0.4219912790593252,0.0628801505407581,2.1000444144276322,0.95,0.1634234090976851,0.6805591490209653,True
gene,Fos,pseudobulk_log2cpm,S2,Surgery,2,3,11.99415459807018,11.673582500653305,2.53656435849641,0.32057209741687487,0.1274590655029111,1.6399091303865,0.95,-0.3610598529501533,1.002204047783903,True
gene,Fos,pseudobulk_log2cpm,S3,Surgery,2,3,11.984264705402268,11.673582500653305,2.573919405376999,0.3106822047489626,0.11891994685530984,1.7662165567079944,0.95,-0.27170002702262186,0.893064436520547,True
gene,Fosb,pseudobulk_log2cpm,C1,Control,3,2,8.950262726248832,9.4584410124666,-1.2719135299437803,-0.5081782862177686,0.31030135564803524,2.9225631942044528,0.95,-1.5106643338946029,0.49430776145906563,True
gene,Fosb,pseudobulk_log2cpm,C2,Control,3,2,8.950262726248832,9.626559680005201,-1.7869259728284619,-0.6762969537563688,0.26776719156891793,2.006674469816414,0.95,-1.824741731063983,0.4721478235512455,True
gene,Fosb,pseudobulk_log2cpm,C3,Control,3,2,8.950262726248832,9.46937443227201,-1.2897352451588955,-0.5191117060231782,0.3159804038022273,2.966292289517393,0.95,-1.5311979448717659,0.4929745328254094,True
gene,Fosb,pseudobulk_log2cpm,S1,Surgery,2,3,8.937317308152135,9.51812504158127,-1.4237360040628746,-0.5808077334291344,0.47543070310344926,1.1114865041986317,0.95,-5.362240977459064,4.200625510600795,True
gene,Fosb,pseudobulk_log2cpm,S2,Surgery,2,3,8.725307025153192,9.51812504158127,-3.096729009979211,-0.7928180164280771,0.2733530732152856,1.3857856481515096,0.95,-2.6414197639962476,1.0557837311400935,True
gene,Fosb,pseudobulk_log2cpm,S3,Surgery,2,3,9.18816384544117,9.51812504158127,-1.425728648054956,-0.3299611961400988,0.23821477171584968,1.5407733351032378,0.95,-1.7112879012505653,1.0513655089703677,True
gene,Jun,pseudobulk_log2cpm,C1,Control,3,2,12.563433593272942,11.916547763717972,2.5958309224354648,0.6468858295549698,0.25623930386422605,1.5455592678933527,0.95,-0.8327547257334789,2.1265263848434186,True
gene,Jun,pseudobulk_log2cpm,C2,Control,3,2,12.563433593272942,12.203364901875144,2.0853842764392696,0.36006869139779774,0.1312440962182611,2.78368463650738,0.95,-0.07658428589456501,0.7967216686901605,True
gene,Jun,pseudobulk_log2cpm,C3,Control,3,2,12.563433593272942,11.975523498057559,2.0488719143695624,0.5879100952153831,0.30985633169571525,1.3433812765926298,0.95,-1.6134083889522421,2.7892285793830083,True
gene,Jun,pseudobulk_log2cpm,S1,Surgery,2,3,12.475890471146691,12.031812054550224,1.6397302959897881,0.44407841659646685,0.22099545349285926,2.9782040514429635,0.95,-0.26214857750974363,1.1503054107026773,True
gene,Jun,pseudobulk_log2cpm,S2,Surgery,2,3,12.539660295244257,12.031812054550224,1.7164194075453076,0.5078482406940328,0.26482990024139513,2.4210966356031336,0.95,-0.4612698898976759,1.4769663712857415,True
gene,Jun,pseudobulk_log2cpm,S3,Surgery,2,3,12.674750013427877,12.031812054550224,2.5436108035396594,0.6429379588776527,0.18616215773088637,2.47946542245399,0.95,-0.026487235749442117,1.3123631535047475,True
gene,Junb,pseudobulk_log2cpm,C1,Control,3,2,12.687600363412303,12.316706060697042,1.8899760856202703,0.3708943027152607,0.1799396382314044,2.239920056691204,0.95,-0.32904087909853197,1.0708294845290534,True
gene,Junb,pseudobulk_log2cpm,C2,Control,3,2,12.687600363412303,12.456433317648564,1.4507900260454438,0.2311670457637387,0.11267046817508028,2.000103204237211,0.95,-0.25359088131608976,0.7159249728435672,True
gene,Junb,pseudobulk_log2cpm,C3,Control,3,2,12.687600363412303,12.316133757639108,1.8955235468114964,0.371466605773195,0.1794937692601015,2.2479810931394835,0.95,-0.32467105089181236,1.0676042624382025,True
gene,Junb,pseudobulk_log2cpm,S1,Surgery,2,3,12.574948337392076,12.363091045328238,1.6045451749833217,0.2118572920638382,0.09340435045259587,2.00526856106495,0.95,-0.1890190251347184,0.6127336092623947,True
gene,Junb,pseudobulk_log2cpm,S2,Surgery,2,3,12.742231995663898,12.363091045328238,1.9751972115340002,0.3791409503356604,0.1945301104082246,1.615429768387744,0.95,-0.6810425807655163,1.439324481436837,True
gene,Junb,pseudobulk_log2cpm,S3,Surgery,2,3,12.745620757180934,12.363091045328238,2.0138258968829432,0.3825297118526958,0.191563856986792,1.64015116323387,0.95,-0.6417368063349229,1.4067962300403145,True
gene,Jund,pseudobulk_log2cpm,C1,Control,3,2,11.860347909785856,11.996794933878501,-1.098898960319983,-0.13644702409264475,0.15020860277759676,1.0253711420921485,0.95,-1.936969767010452,1.6640757188251625,True
