selection,n_cells,n_genes,panel,panel_genes,sweep,seed,ctrl_size,n_bins,mean_difference,mean_difference_ci_low,mean_difference_ci_high,welch_df,cohens_d,exact_perm_p,mean_difference_without_s3,cohens_d_without_s3,sign_preserved_without_s3,surgery_values,control_values
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,control_size_sweep,42,100,25,0.0452833505630018,-0.18052462474361758,0.27109132586962115,2.057173084706516,0.6860799110147299,0.8,-0.007986732271061739,-0.6922013096246661,False,S1:-0.040816959;S2:-0.058354305;S3:0.11022462,C1:-0.052239027;C2:-0.030122945;C3:-0.042434727
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,control_size_sweep,42,200,25,0.04572232857860981,-0.18011092582451235,0.271555582981732,2.054980517982276,0.6933360990343246,0.8,-0.007514357246254301,-0.6587854778431135,False,S1:-0.040929491;S2:-0.05850307;S3:0.10999378,C1:-0.052561978;C2:-0.030902049;C3:-0.043141741
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,bin_sweep,42,50,10,0.04665080080002649,-0.1798990580188508,0.2732006596189038,2.0518929353829427,0.7061599688126831,0.8,-0.006702187017960631,-0.5971979681205886,False,S1:-0.029862766;S2:-0.047426184;S3:0.12141449,C1:-0.041963888;C2:-0.020891498;C3:-0.032971476
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,bin_sweep,42,50,25,0.04649471117813342,-0.1766248419246236,0.2696142642808904,2.0546913450620976,0.7137166150596257,0.8,-0.00608966251040171,-0.5378878025588492,False,S1:-0.039026709;S2:-0.05666268;S3:0.10990843,C1:-0.052213813;C2:-0.030827752;C3:-0.042223531
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,bin_sweep,42,50,50,0.045882810716542946,-0.18052307742264678,0.27228869885573265,2.0599787572909114,0.6924551642739312,0.8,-0.007538744604951082,-0.6232461030392791,False,S1:-0.038768817;S2:-0.057712387;S3:0.11202406,C1:-0.051429416;C2:-0.028746994;C3:-0.041929162
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,0,50,25,0.13979903132295046,-0.08297104707963049,0.3625691097255314,2.521504059305182,1.8204940300258146,0.2,0.1918101200395088,3.8733034863124534,True,S1:1.8823278;S2:1.7864723;S3:1.6783668,C1:1.6854194;C2:1.6235547;C3:1.6187956
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,1,50,25,0.12975968588356057,-0.08972823455754272,0.3492476063246639,2.4659566500252548,1.7426738111393312,0.2,0.17852774329603416,3.4773823901618868,True,S1:1.8463633;S2:1.7408687;S3:1.6473118,C1:1.6545423;C2:1.5933859;C3:1.5973366
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,2,50,25,0.13306965234717727,-0.09055732859182533,0.35669663328617984,2.5806939139317264,1.6985298647710514,0.2,0.18112194332390685,3.0331970127293597,True,S1:1.9941343;S2:1.8714559;S3:1.7886382,C1:1.7971513;C2:1.7230346;C3:1.7348335
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,3,50,25,0.14742311483451687,-0.06590908318025063,0.36075531284928436,2.62172108837724,1.951516502842182,0.1,0.19359374146814257,3.3470346704154865,True,S1:1.957219;S2:1.839758;S3:1.7599766,C1:1.7506126;C2:1.6808512;C3:1.6832205
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,4,50,25,0.1345472110123498,-0.07111448327170142,0.340208905296401,2.9701953334696447,1.7096434500957676,0.2,0.18231191985260664,2.999173529360109,True,S1:1.8503944;S2:1.7409225;S3:1.6523643,C1:1.6683414;C2:1.5691666;C3:1.6025315
