estimand,contrast,ensembl,symbol,baseMean,log2FoldChange,lfcSE,ci95_low,ci95_high,stat,pvalue,padj,direction,feature_universe,symbol_mapping,estimand_note
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022747,St3gal6,159.86895524660318,-0.17540727927086744,0.2737789473939443,-0.7120041558882841,0.3611895973465493,-0.6406894355484225,0.5217244793318436,0.8852293244178333,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022748,Cmss1,5.543020068297737,-0.15055983220131652,0.6322449093781699,-1.3897370839913195,1.0886174195886862,-0.23813530163397634,0.8117761554200009,NA,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022749,Tbc1d23,47.705037366159175,-0.16935815097955717,0.28216037614724393,-0.7223823260924297,0.3836660241333153,-0.600219468417417,0.5483599805785513,0.8968659171816473,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022750,Klhl22,20.73410594640035,-0.42446201731306543,0.3867622621721773,-1.1825021217497707,0.3335780871236399,-1.0974752679569992,0.27243368639462145,0.7816253525648179,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022751,Nit2,28.24082394909875,0.15386342864929103,0.6068817705351298,-1.0356029844734644,1.3433298417720465,0.2535311425051027,0.7998577988435535,0.9640441712917567,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022752,Tomm70a,14.770978029048344,0.35187593583990556,0.30872842030940006,-0.25322064897046254,0.9569725206502737,1.1397588064204265,0.25438679994366975,0.7739117486748758,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022753,Tmem30c,10.499835286866794,-0.1745032952960918,0.38649047191485136,-0.9320107006170895,0.5830041100249059,-0.4515073668738127,0.651623916731128,0.9245885413271608,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022754,Tmem45a,1.5826519546531128,1.0538527802821454,1.5513891192321132,-1.9868140194201114,4.094519579984402,0.6792962302093287,0.49695018456414747,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022756,Slc7a4,3.448444522851065,-1.1133504981367006,0.6818142950989475,-2.4496819606752016,0.22298096440180037,-1.6329233724486913,0.10248511381025537,NA,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022757,Tfg,30.937054128469,0.1964349100850676,0.3938790343920813,-0.5755538115888247,0.96842363175896,0.49871887796274345,0.6179774434819152,0.9161685524834666,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022758,P2rx6,1.060375233570269,1.1052985544876492,1.4305146259202806,-1.698458591673888,3.909055700649186,0.7726579892719287,0.4397248155540891,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022759,Lrrc74b,18.461681129732927,0.3284658446851418,0.3132637299255064,-0.2855197836315329,0.9424514730018165,1.0485281675068174,0.2943953316763444,0.7936272191426981,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022760,Thap7,13.69305340087967,-0.06437996553514007,0.3757170149054041,-0.8007717831286305,0.6720118520583505,-0.17135227573164152,0.8639467781433819,0.9771131938802816,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022761,Lztr1,87.03524024973662,0.14715706138032592,0.16424153114246545,-0.17475042442461997,0.4690645471852718,0.8959796000238196,0.3702636586615017,0.828112482161554,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022762,Ncam2,3.141227590066122,-0.7177682580394326,0.587550109998759,-1.8693453127495467,0.43380879667068173,-1.2216290080193306,0.2218479537540167,NA,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022763,Aifm3,1.909060246101807,0.7766274023742509,1.0832773461778564,-1.3465571814024755,2.899811986150977,0.7169238839106503,0.47342106393526373,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022765,Snap29,8.151635744983352,-0.29149042765697447,0.3804038167843315,-1.0370682081358373,0.45408735282188833,-0.7662657807196342,0.4435181748779217,0.8571067954654672,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022766,Serpind1,1.371484128649713,0.031398531471665124,0.9617335247663109,-1.8535645397950637,1.916361602738394,0.03264784959980944,0.9739554116864104,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022768,Ccdc116,1.469235231564158,0.3149558524460355,0.8752458805538095,-1.4004945510564766,2.0304062559485474,0.3598484259608832,0.7189604869376627,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022769,Sdf2l1,41.571050055632796,-0.2030106040751515,0.26876094478861484,-0.7297723763117944,0.3237511681614914,-0.7553575324525774,0.45003448703389354,0.8583949401105415,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022770,Dlg1,19.706539073180497,-0.0527467851554474,0.3570171414790668,-0.7524875243178591,0.6469939540069644,-0.1477430045429349,0.8825455913202213,0.9807367164657769,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022771,Ppil2,59.74377056169416,-0.024835192075765577,0.17917101446296219,-0.37600392749667644,0.3263335433451453,-0.13861166188183552,0.8897570274273101,0.9826746457246368,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
