estimand,contrast,ensembl,symbol,baseMean,log2FoldChange,lfcSE,ci95_low,ci95_high,stat,pvalue,padj,direction,feature_universe,symbol_mapping,estimand_note
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045302,Preb,56.82550553147266,-0.03533666959018133,0.39435062644219243,-0.8082496946976869,0.7375763555173243,-0.08960723584741485,0.9285993341673101,0.9845744893241106,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045306,Or4m1,29.560264182877688,-0.09289484234135277,0.3942186237120477,-0.8655491468519138,0.6797594621692081,-0.2356429573687688,0.8137097367847328,0.9547086667501651,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045312,Lhfpl2,114.4810205448812,0.0612862262057756,0.2602860524647407,-0.4488650623032189,0.5714375147147701,0.23545720420066557,0.8138538912593369,0.9547086667501651,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045314,Sowahb,0.8514917696122805,-1.6573422811852543,1.5186622966080277,-4.633865687215873,1.319181124845364,-1.0913171973038194,0.27513333312965865,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045316,Fahd1,2.6217966550373877,0.33300635434604325,0.8326675568494403,-1.298992068173817,1.9650047768659036,0.399927139717125,0.6892101820945082,NA,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045319,Proser2,3.507255193428611,-1.0044308367663561,1.091904334368326,-3.144524006691455,1.1356623331587425,-0.919889046275676,0.3576307435644969,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045322,Tlr9,53.103022744494474,0.3181374869544511,0.24898929012501778,-0.1698725542267781,0.8061475281356802,1.277715546699675,0.20134974149493579,0.6863070529121301,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045326,Fndc7,10.207518801834986,0.06823835292733256,0.5190707600896601,-0.9491216422762317,1.0855983481308968,0.13146252529336389,0.8954094297284519,NA,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045327,NA,1.8399745695262304,-1.3317186996705668,1.0317171673508276,-3.353847189909872,0.6904097905687383,-1.2907788508453943,0.19678037341575352,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045328,Cenpe,4.691267808979205,-2.103913315286683,1.571731461762083,-5.184450373708858,0.9766237431354918,-1.3385959156966711,0.18070225648036295,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045333,Zfp423,0.8142326527034466,0.4135270268191273,2.7729949272419687,-5.021443159887397,5.848497213525652,0.149126499567896,0.8814538160541858,NA,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045339,NA,0.44680023321064855,-0.18949778134454084,1.8927879445107891,-3.8992939829572846,3.520298420268203,-0.10011569541854755,0.9202524747952352,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045340,Vmn1r70,5.064019217616567,-0.5184813238012428,0.5854656753239184,-1.6659729616205432,0.6290103140180575,-0.8855879100245879,0.3758396287955961,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045341,Or2l5,12.40677433140321,-0.5499717085468083,0.5154816938887216,-1.5602972632584031,0.4603538461647865,-1.0669083210266865,0.28601323698580844,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045345,NA,3.4354282625030446,-0.7993601814815071,0.7308455845224945,-2.23179120540572,0.6330708424427055,-1.0937470218196328,0.27406594514436455,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045349,Sh2d5,1.9123234117530248,1.7602203065906812,1.39642414541553,-0.9767207255658796,4.497161338747242,1.2605198158235065,0.20748190407779002,NA,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045350,Fam186a,1.0814152875509682,2.446891499901657,1.8962089536226636,-1.2696097563611444,6.163392756164458,1.2904123752959435,0.19690751762374956,NA,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045362,Tnfrsf26,4.879869748949792,0.3116188269505607,0.5896517260626658,-0.8440773195541418,1.467314973455263,0.5284794619891321,0.5971665981916109,NA,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045374,Wdr81,100.10671958906181,0.029745697471986784,0.3011624588292959,-0.5605218753289598,0.6200132702729333,0.09876960623716771,0.9213212011724425,0.9833002855207437,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045377,Tmem88,13.572047965390901,0.2608398268447832,0.5748149674262995,-0.8657768070853278,1.387456460774894,0.45378050612126253,0.6499868156994485,NA,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045381,Or10aa1,4.456618492135818,-0.04144700267145322,0.7886719396362906,-1.5872155999759299,1.5043215946330233,-0.05255290646015276,0.9580881402822546,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045391,NA,0.44530230141675814,-1.0432155039126747,1.9744664153249163,-4.913098566633414,2.8266675588080643,-0.5283531266045891,0.5972542644345065,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045392,Or5m3b,7.462439026774803,-0.19715121359961535,0.6166895006355962,-1.4058404244893743,1.0115379972901435,-0.3196928330974012,0.7492011932593627,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045404,Kcnk13,48.48460103312598,0.3219719361906015,0.28226082725630464,-0.231249119478237,0.87519299185944,1.1406894088715949,0.2539991955080615,0.7209719715847527,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045409,Trim39,16.55776840509094,-0.48489267029737015,0.38559584623013543,-1.2406466414966801,0.27086130090193983,-1.2575152845603303,0.20856710791938352,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045410,Akr1e1,22.343896480295744,-1.3262764702958607,0.5605225400662186,-2.4248804613485584,-0.22767247924316325,-2.366142974623604,0.01797450145100973,0.4517342627466071,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045411,2410002F23Rik,33.39963524295383,-0.13530385251149996,0.34282251016039206,-0.807223625515485,0.536615920492485,-0.39467610352714894,0.693081940674229,0.9293898938526935,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
