outcome_type,outcome,dropped_animal,dropped_group,n_combined_exposure,n_oxygen_control,combined_exposure_mean,oxygen_control_mean,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,cohens_d,exact_permutation_p,perfect_group_separation,sign_matches_full
gene,Ifitm3,C3,Oxygen control,3,2,5.352391577871177,4.425603199971324,0.9267883778998529,-2.986649999819606,4.840226755619312,0.5942334510614672,NA,FALSE,TRUE
gene,Ifitm3,S1,Combined exposure,2,3,5.681122114387488,4.456653531639148,1.2244685827483401,-17.219027584274443,19.667964749771123,0.8221303143666483,NA,FALSE,TRUE
gene,Ifitm3,S2,Combined exposure,2,3,6.045914480796664,4.456653531639148,1.5892609491575156,-11.708651755602528,14.887173653917557,1.309710584809803,NA,FALSE,TRUE
gene,Ifitm3,S3,Combined exposure,2,3,4.330138138429377,4.456653531639148,-0.1265153932097709,-1.8892610343802747,1.636230247960733,-0.21558443597942267,NA,FALSE,FALSE
gene,Isg15,(none),NA,3,3,5.014197405375247,4.402984023573457,0.6112133818017904,-1.8363537880021354,3.0587805516057163,0.7287176350288997,0.6,FALSE,TRUE
gene,Isg15,C1,Oxygen control,3,2,5.014197405375247,4.632853790005088,0.3813436153701595,-2.3916254702909074,3.1543127010312264,0.4179936214554767,NA,FALSE,TRUE
gene,Isg15,C2,Oxygen control,3,2,5.014197405375247,4.296057560956786,0.7181398444184612,-1.686224791219753,3.1225044800566755,0.7506979735789876,NA,FALSE,TRUE
gene,Isg15,C3,Oxygen control,3,2,5.014197405375247,4.280040719758496,0.7341566856167514,-1.6675588242573443,3.135872195490847,0.7705472902450404,NA,FALSE,TRUE
gene,Isg15,S1,Combined exposure,2,3,5.280672612139375,4.402984023573457,0.8776885885659178,-9.773005242011099,11.528382419142932,0.9837552261918556,NA,FALSE,TRUE
gene,Isg15,S2,Combined exposure,2,3,5.3896851445297225,4.402984023573457,0.9867011209562655,-8.123948227778982,10.097350469691513,1.218219629805316,NA,FALSE,TRUE
gene,Isg15,S3,Combined exposure,2,3,4.372234459456644,4.402984023573457,-0.030749564116812955,-0.8893481831626807,0.8278490549290548,-0.09116286373505819,NA,FALSE,FALSE
gene,Mx1,(none),NA,3,3,1.9623693807156486,0.5971602687047667,1.365209112010882,-0.03380886899724689,2.764227093019011,2.286746660367996,0.1,TRUE,TRUE
gene,Mx1,C1,Oxygen control,3,2,1.9623693807156486,0.576373678607029,1.3859957021086196,-1.1472534406058479,3.919244844823087,2.0123643546804026,NA,TRUE,TRUE
gene,Mx1,C2,Oxygen control,3,2,1.9623693807156486,0.8586890613196807,1.103680319395968,-0.3568826770797915,2.5642433158717273,1.8971751541579787,NA,TRUE,TRUE
gene,Mx1,C3,Oxygen control,3,2,1.9623693807156486,0.35641806618759053,1.605951314528058,0.07015072415635992,3.141751904899756,2.679142156190291,NA,TRUE,TRUE
gene,Mx1,S1,Combined exposure,2,3,2.0165101073376586,0.5971602687047667,1.419349838632892,-3.525522315192323,6.364221992458107,2.0717357727185735,NA,TRUE,TRUE
gene,Mx1,S2,Combined exposure,2,3,2.2708859089735505,0.5971602687047667,1.673725640268784,-0.5384876809875845,3.8859389615251523,3.1359348506233515,NA,TRUE,TRUE
gene,Mx1,S3,Combined exposure,2,3,1.5997121258357367,0.5971602687047667,1.0025518571309702,-0.25891452336723164,2.264018237629172,2.176447407963427,NA,TRUE,TRUE
gene,Ifit1,(none),NA,3,3,1.7759765557320073,0.3812428047103824,1.394733751021625,-1.6110195727677024,4.400487074810952,1.169285253779402,0.3,FALSE,TRUE
gene,Ifit1,C1,Oxygen control,3,2,1.7759765557320073,0.3782668661134347,1.3977096896185726,-2.6432080464531076,5.438627425690253,1.014796118229578,NA,FALSE,TRUE
gene,Ifit1,C2,Oxygen control,3,2,1.7759765557320073,0.800070223677494,0.9759063320545133,-2.178694035050008,4.130506699159034,0.7848232947431892,NA,FALSE,TRUE
gene,Ifit1,C3,Oxygen control,3,2,1.7759765557320073,-0.03460867565978157,1.810585231391789,-1.3419763413670323,4.96314680415061,1.4537380671681903,NA,FALSE,TRUE
gene,Ifit1,S1,Combined exposure,2,3,1.7369208698621965,0.3812428047103824,1.355678065151814,-11.552198109496523,14.26355423980015,0.9850671643018833,NA,FALSE,TRUE
gene,Ifit1,S2,Combined exposure,2,3,2.527674842715746,0.3812428047103824,2.146432038005363,-1.3819453760730083,5.674809452083735,2.4509348820803645,NA,TRUE,TRUE
gene,Ifit1,S3,Combined exposure,2,3,1.0633339546180798,0.3812428047103824,0.6820911499076974,-3.872782083509019,5.236964383324414,0.7265593916476341,NA,FALSE,TRUE
gene,Ifit2,(none),NA,3,3,2.3317347607777896,1.0734413683060582,1.2582933924717314,0.5274317733378792,1.9891550116055838,4.063873094851971,0.1,TRUE,TRUE
gene,Ifit2,C1,Oxygen control,3,2,2.3317347607777896,0.9339474205872867,1.397787340190503,0.622184608570203,2.173390071810803,4.687770216411213,NA,TRUE,TRUE
gene,Ifit2,C2,Oxygen control,3,2,2.3317347607777896,1.1014024749048015,1.2303322858729882,-0.01482834604795813,2.475492917793934,3.462453222987254,NA,TRUE,TRUE
gene,Ifit2,C3,Oxygen control,3,2,2.3317347607777896,1.1849742094260862,1.1467605513517034,0.2942432463049942,1.9992778563984126,3.574080176580244,NA,TRUE,TRUE
gene,Ifit2,S1,Combined exposure,2,3,2.242725431398691,1.0734413683060582,1.1692840630926329,-1.0873827501519966,3.4259508763372626,3.4941916108626345,NA,TRUE,TRUE
